mbti_type,Pengertian,learning_style,tools,study_suggestion,source
INFP,,"Reflektif, Verbal","Jurnal, Audio Book","Belajar sendiri dalam suasana tenang, malam hari cocok",https://www.truity.com/blog/how-you-learn-based-your-myers-briggs-personality-type
ESTJ,,"Struktural, Sosial","Diskusi kelompok, Buku","Belajar terjadwal, jam produktif siang hari",https://www.16personalities.com/articles/how-you-learn-based-on-your-personality-type
INTJ,,"Mandiri, Visual","Video, Buku Referensi","Belajar dengan target dan sistematika, waktu fleksibel",https://www.psychologyjunkie.com
ESFP,,"Kinestetik, Sosial","Diskusi interaktif, Game edukasi","Belajar dalam kelompok, metode menyenangkan",https://www.truity.com/blog/how-you-learn-based-your-myers-briggs-personality-type
ISTP,,"Praktikal, Mandiri","Simulasi, Eksperimen","Belajar hands-on, menghindari teori berlebihan",https://www.psychologyjunkie.com
ENFP,,"Visual, Fleksibel","Mind map, Video kreatif","Belajar dengan variasi, tempat nyaman",https://www.truity.com/blog/how-you-learn-based-your-myers-briggs-personality-type
ISFJ,,"Verbal, Praktikal","Buku teks, Catatan","Belajar dengan rutinitas, lingkungan terstruktur",https://www.16personalities.com/articles/how-you-learn-based-on-your-personality-type
ENTP,,"Eksploratif, Sosial","Debat, Forum diskusi",Belajar melalui eksplorasi ide dan diskusi aktif,https://www.psychologyjunkie.com
INFJ,,"Reflektif, Teoritis","Jurnal, Artikel teoritis",Belajar sendiri dengan waktu yang konsisten,https://www.truity.com/blog/how-you-learn-based-your-myers-briggs-personality-type
ESTP,,"Aktif, Kinestetik","Latihan praktis, Demonstrasi",Belajar langsung dari pengalaman,https://www.psychologyjunkie.com
ISFP,,"Visual, Reflektif","Infografik, Video",Belajar dalam lingkungan estetis dan damai,https://www.16personalities.com/articles/how-you-learn-based-on-your-personality-type
ENTJ,,"Strategis, Logis","Artikel, Podcast analitis",Belajar dengan tujuan jangka panjang dan struktur ketat,https://www.psychologyjunkie.com
ISTJ,,"Logis, Sistematis","Buku teks, Catatan",Belajar dalam urutan logis dan teratur,https://www.truity.com/blog/how-you-learn-based-your-myers-briggs-personality-type
ENFJ,,"Sosial, Inspiratif","Diskusi, Ceramah motivasional",Belajar dengan melibatkan emosi dan interaksi,https://www.16personalities.com/articles/how-you-learn-based-on-your-personality-type
INTP,,"Logis, Independen","Forum, Buku referensi","Belajar melalui eksplorasi mandiri, jam malam efektif",https://www.psychologyjunkie.com
ESFJ,,"Sosial, Praktikal","Diskusi kelompok, Panduan tugas","Belajar dalam struktur sosial, waktu siang",https://www.16personalities.com/articles/how-you-learn-based-on-your-personality-type
